Stuff,Muscles,Complexity,Exercise ,Link
nothing,sh,1,Incline Push-Ups,https://www.youtube.com/watch?v=Me9bHFAxnCs
nothing,sh,2,Plank-to-Downward Dog,https://www.youtube.com/watch?v=u8eUdDxyAMg
nothing,sh,3,Pike Push Ups,https://www.youtube.com/watch?v=sposDXWEB0A
nothing,sh,4,Elevated Pike Push Ups,https://www.youtube.com/watch?v=Pzth0n3oWBQ
nothing,sh,5,Handstand Push Ups,https://www.youtube.com/watch?v=0wDEO6shVjc
db,sh,1,Overhead Walk,https://www.youtube.com/watch?v=Ip_UkwWqwYY
db,sh,2,Single-Arm Shoulder Press,https://www.youtube.com/watch?v=stXikBvAFPI
db,sh,3,Dumbbell High Pulls,https://www.youtube.com/watch?v=BJdROwz4qeQ
db,sh,4,Dumbbell Snatch,https://www.youtube.com/watch?v=Dc8XQpyly3g
db,sh,5,Turkish Get-Ups,https://www.youtube.com/watch?v=MlDLOiN42d4
kb,sh,1,Overhead Walk,https://www.youtube.com/watch?v=euj4FvcCags
kb,sh,2,Single-Arm Shoulder Press,https://www.youtube.com/watch?v=sucxYgqieWI
kb,sh,3,Kettlebell High Pulls,https://www.youtube.com/watch?v=WyXGycl1ZrQ
kb,sh,4,Kettlebell Snatch,https://www.youtube.com/watch?v=AUAqL8GJlcs
kb,sh,5,Turkish Get-Ups,https://www.youtube.com/watch?v=MlDLOiN42d4
bar,sh,1,Landmine Split Jerk,https://www.youtube.com/watch?v=5Rebfu_-T98
bar,sh,2,Overhead Press,https://www.youtube.com/watch?v=QAQ64hK4Xxs
bar,sh,3,Overhead Press,https://www.youtube.com/watch?v=QAQ64hK4Xxs
bar,sh,4,Push Press,https://www.youtube.com/watch?v=iaBVSJm78ko
bar,sh,5,Split Jerk ,https://www.youtube.com/watch?v=ElfYPyYWWBs
rb_long,sh,1,Band Pull Apart,https://www.youtube.com/watch?v=4s15-oQ-q_4
rb_long,sh,2,Lateral and Front Raises,https://www.youtube.com/watch?v=WOJIrYjS5c4
rb_long,sh,3,Face Pulls,https://www.youtube.com/watch?v=Wq-Td9UXRK8
rb_long,sh,4,Overhead Press,https://www.youtube.com/watch?v=5cH-1OOKMxY
rb_long,sh,5,Overhead Press,https://www.youtube.com/watch?v=5cH-1OOKMxY
nothing,ch,1,Incline Push-Ups,https://www.youtube.com/watch?v=Me9bHFAxnCs
nothing,ch,2,Push-Ups,https://www.youtube.com/watch?v=IODxDxX7oi4
nothing,ch,3,Diamond Push Ups,https://www.youtube.com/watch?v=IODxDxX7oi4
nothing,ch,4,Decline Push Ups,https://www.youtube.com/watch?v=SKPab2YC8BE
nothing,ch,5,Decline Diamond Push Ups,https://www.youtube.com/watch?v=3_t6n2AUQQ0
db,ch,1,Dumbbell Floor Press,https://www.youtube.com/watch?v=lNdi7VEf2Ew
db,ch,2,Glute Bridge Floor Press,https://www.youtube.com/watch?v=jMmotfdI2-4
db,ch,3,Dumbbell Chest Press,https://www.youtube.com/watch?v=VmB1G1K7v94
db,ch,4,Single Arm Dumbbell Chest Press,https://www.youtube.com/watch?v=6tbjm5FjhB0
db,ch,5,Alternating Dumbbell Chest Press,https://www.youtube.com/watch?v=7CHPqVxJOUE
kb,ch,1,Crush Grip KB Chest Press,https://www.youtube.com/watch?v=KOd1MG-QuJo
kb,ch,2,KB Floor Press,https://www.youtube.com/watch?v=i_URJN83nys
kb,ch,3,KB Floor Press,https://www.youtube.com/watch?v=i_URJN83nys
kb,ch,4,Glute Bridge KB Floor Press,https://www.youtube.com/watch?v=sInbYmRlvs4
kb,ch,5,Single Arm KB Chest Press,https://www.youtube.com/watch?v=pt5R2YST-Ok
bar,ch,1,Landmine Neutral Grip Floor Press,https://www.youtube.com/watch?v=fw_4FpH96Nw
bar,ch,2,Floor Press,https://www.youtube.com/watch?v=PpiqWNY52M0
bar,ch,3,Bench Press,https://www.youtube.com/watch?v=rxD321l2svE
bar,ch,4,Spoto Press,https://www.youtube.com/watch?v=CoQSqnn5GME
bar,ch,5,Larsen Press,https://www.youtube.com/watch?v=Ilt0GuTwB_Y
rb_long,ch,1,Resistance Band Chest Press,https://www.youtube.com/watch?v=j3ccNPK-P4U
rb_long,ch,2,Resistance Band Single-Arm Chest Press,https://www.youtube.com/watch?v=H12IlfY7EVU
rb_long,ch,3,Resistance Band 1/2 Kneeling Single-Arm Chest Press,https://www.youtube.com/watch?v=JSzIrggroGI
rb_long,ch,4,Resistance Band Chest Flies,https://www.youtube.com/watch?v=IKTBEgjnCJA
rb_long,ch,5,Resistance Band Push-Ups ,https://www.youtube.com/watch?v=Yrd6ZLwSbos
nothing,back,1,Towel Face Pull,https://www.youtube.com/watch?v=XKL56q_hx5w
nothing,back,2,Floor Pullovers,https://www.youtube.com/watch?v=1y6WIL5EFwA
nothing,back,3,Inverted Rows,https://www.youtube.com/watch?v=rloXYB8M3vU
nothing,back,4,Pull Ups,https://www.youtube.com/watch?v=eGo4IYlbE5g
nothing,back,5,Levers Progressions,https://www.youtube.com/watch?v=pyVyLPfJpQY
db,back,1,Incline Dumbbell Rows,https://www.youtube.com/watch?v=BzPuC0X69Kg
db,back,2,Goblet Deadlift,https://www.youtube.com/watch?v=wINeMaSKnAk
db,back,3,Suitcase Deadlift,https://www.youtube.com/watch?v=FePRQacwd6I
db,back,4,Suitcase Rows,https://www.youtube.com/watch?v=d_pPZbqbp9s
db,back,5,Kroc Rows,https://www.youtube.com/watch?v=664VPfta8bA
kb,back,1,KB Goblet Deadlift,https://www.youtube.com/watch?v=0mf6Q2ADS0I
kb,back,2,KB Single Arm Deadlift,https://www.youtube.com/watch?v=4SFg7GaKI0A
kb,back,3,KB Suitcase Deadlift,https://www.youtube.com/watch?v=eUjU3YBHe-Y
kb,back,4,KB Clean,https://www.youtube.com/watch?v=C0B1SrcGAIA
kb,back,5,KB Snatch,https://www.youtube.com/watch?v=AUAqL8GJlcs
bar,back,1,Landmine Deadlift,https://www.youtube.com/watch?v=3QmesK2a2Fg
bar,back,2,Meadow Rows,https://www.youtube.com/watch?v=EsmIWi_0lio
bar,back,3,Bentover Rows,https://www.youtube.com/watch?v=kBWAon7ItDw
bar,back,4,Deadlift,https://www.youtube.com/watch?v=oiDczs9j75E
bar,back,5,Clean,https://www.youtube.com/watch?v=3F5UCelGl9o
rb_long,back,1,Face Pulls,https://www.youtube.com/watch?v=Wq-Td9UXRK8
rb_long,back,2,Seated Resistance Band Row,https://www.youtube.com/watch?v=TBNt2DBvkl4
rb_long,back,3,Resistance Band Lat Pulldown,https://www.youtube.com/watch?v=M_tk7gXDxdU
rb_long,back,4,Resistance Bang Bentover Row,https://www.youtube.com/watch?v=NY-0T5NADFI
rb_long,back,5,Resistance Band Deadlift,https://www.youtube.com/watch?v=tSMgar8KC3Q
nothing,bi,1,Inverted Rows,https://www.youtube.com/watch?v=rloXYB8M3vU
nothing,bi,2,Inverted Rows,https://www.youtube.com/watch?v=rloXYB8M3vU
nothing,bi,3,Bodyweight curl,https://www.youtube.com/watch?v=vByJfI8acOw
nothing,bi,4,Chin Up Hold,https://www.youtube.com/watch?v=sfKEBt-gNlE
nothing,bi,5,Chin Ups,https://www.youtube.com/watch?v=qV7vOUcUfD4
db,bi,1,Waiter Curls,https://www.youtube.com/watch?v=jt76fPbTdL4
db,bi,2,Incline Curls,https://www.youtube.com/watch?v=MVSccftvAQw
db,bi,3,Dumbbell Bicep Curls,https://www.youtube.com/watch?v=in7PaeYlhrM
db,bi,4,Dumbbell Preacher Curls,https://www.youtube.com/watch?v=7v7uldi1eLU
db,bi,5,Chest Supported Bicep Curls,https://www.youtube.com/watch?v=d60BTJ8ja7U
kb,bi,1,Crush Grip KB Bicep Curls,https://www.youtube.com/watch?v=6MC0SwYyF9E
kb,bi,2,Crush Grip KB Bicep Curls,https://www.youtube.com/watch?v=6MC0SwYyF9E
kb,bi,3,KB Hammer Curls,https://www.youtube.com/watch?v=KLvGXRo56iQ
kb,bi,4,Tall-Kneeling KB Hammer Curls,https://www.youtube.com/watch?v=j5UwqcA9UNM
kb,bi,5,Tall-Kneeling KB Hammer Curls,https://www.youtube.com/watch?v=j5UwqcA9UNM
bar,bi,1,Barbell Curl,https://www.youtube.com/watch?v=-moSw0_zJ5c
bar,bi,2,Barbell Drag Curl,https://www.youtube.com/watch?v=Bhr0yZRNYQs
bar,bi,3,Strict Barbell Curl,https://www.youtube.com/watch?v=4rjMFcL7CyA
bar,bi,4,Chest Supported Barbell Bicep Curls,https://www.youtube.com/watch?v=75APAIQEBzA
bar,bi,5,Chest Supported Barbell Bicep Curls,https://www.youtube.com/watch?v=75APAIQEBzA
rb_long,bi,1,Resistance Band Preacher Curl,https://www.youtube.com/watch?v=N1JBxAtHJKw
rb_long,bi,2,Single-Arm Bicep Curl,https://www.youtube.com/watch?v=PWx4H0RHq_Q
rb_long,bi,3,Banded Bicep Curls,https://www.youtube.com/watch?v=BeeZJKwAWQo
rb_long,bi,4,Lying Bicep Curl,https://www.youtube.com/watch?v=S6rd0C6WUeo
rb_long,bi,5,Lying Bicep Curl,https://www.youtube.com/watch?v=S6rd0C6WUeo
nothing,tri,1,Plank to Press,https://www.youtube.com/watch?v=o-c-2QWm5i8
nothing,tri,2,Push Ups,https://www.youtube.com/watch?v=IODxDxX7oi4
nothing,tri,3,Diamond Push Ups,https://www.youtube.com/watch?v=IODxDxX7oi4
nothing,tri,4,Dips,https://www.youtube.com/watch?v=jdFzYGmvDyg
nothing,tri,5,Bodyweight Tricep Extension,https://www.youtube.com/watch?v=VYgVTinbx_A
db,tri,1,Crush-Grip Dumbbell Tricep Extension,https://www.youtube.com/watch?v=-nvh8Vxb-Nw
db,tri,2,Overhead Tricep Extension,https://www.youtube.com/watch?v=41pqsB6ppx0
db,tri,3,Lying Overhead Tricep Extension,https://www.youtube.com/watch?v=2azK5QfuWFk
db,tri,4,Crush-Grip Lying Tricep Extension,https://www.youtube.com/watch?v=xKa92wXSz5I
db,tri,5,Dumbbell JM Press,https://www.youtube.com/watch?v=bzqTeUgGAac
kb,tri,1,Overhead Tricep Extension,https://www.youtube.com/watch?v=qS5q6FgddTI
kb,tri,2,Crush-Grip Tricep Extension,https://www.youtube.com/watch?v=ntrrWRHSyHY
kb,tri,3,Lying Overhead Tricep Extension,https://www.youtube.com/watch?v=TLc4QpFHkCs
kb,tri,4,KB Crush Grip Chest Press,https://www.youtube.com/watch?v=KOd1MG-QuJo
kb,tri,5,Kettlebell JM Press,https://www.youtube.com/watch?v=kzI7svkmJd8
bar,tri,1,Landmine Tricep Kickbacks,https://www.youtube.com/watch?v=3iG2e64sU6U
bar,tri,2,Landmine Overhead Tricep Extension,https://www.youtube.com/watch?v=CH73r0S2NBk
bar,tri,3,Barbell Overhead Extension,https://www.youtube.com/watch?v=q5X9thiKofE
bar,tri,4,Close-Grip Bench Press,https://www.youtube.com/watch?v=1-zscuojv5s
bar,tri,5,JM Press,https://www.youtube.com/watch?v=k5MTvqaOozE
rb_long,tri,1,Resistance Band Tricep Kickback,https://www.youtube.com/watch?v=awNyBs_jNwg
rb_long,tri,2,Resistance Band Tricep Pushdown,https://www.youtube.com/watch?v=dzfxVf-IOSE
rb_long,tri,3,Resistance Band Tricep Extension,https://www.youtube.com/watch?v=LTHEb9h5S9c
rb_long,tri,4,Resistance Band Overhead Extension,https://www.youtube.com/watch?v=rL60vVkUyzM
rb_long,tri,5,Resistance Band Overhead Extension,https://www.youtube.com/watch?v=rL60vVkUyzM
nothing,fore,1,Dead Hang,https://www.youtube.com/watch?v=3CEmHJXbNpc
nothing,fore,2,Dead Hang with Towel,https://www.youtube.com/watch?v=viaptoRj-ZI
nothing,fore,3,Pull Ups,https://www.youtube.com/watch?v=eGo4IYlbE5g
nothing,fore,4,Pull Ups,https://www.youtube.com/watch?v=eGo4IYlbE5g
nothing,fore,5,Pull Ups,https://www.youtube.com/watch?v=eGo4IYlbE5g
db,fore,1,Dumbell Static Hold,https://www.youtube.com/watch?v=RJf3s7r6GPU
db,fore,2,Dummbell Farmer Carry,https://www.youtube.com/watch?v=p5MNNosenJc
db,fore,3,Pinch-Grip Dumbbell Hold,https://www.youtube.com/watch?v=AgRLGjRJOTE
db,fore,4,Reverse Curls,https://www.youtube.com/watch?v=rV2asdIdXF0
db,fore,5,Pinch-Grip Flip and Catch,https://www.youtube.com/watch?v=iBjHO7vIyHo
kb,fore,1,Kettlebell Static Hold,https://www.youtube.com/watch?v=_dHIi_IORTc
kb,fore,2,Kettlebell Farmer Carry,https://www.youtube.com/watch?v=92cwGLa-wdQ
kb,fore,3,Kettlebell Reverse Curls,https://www.youtube.com/watch?v=PIPu_qa2rX0
kb,fore,4,Kettlebell One Arm Swings,https://www.youtube.com/watch?v=mIXtQTb1BzM
kb,fore,5,Bottoms-Up Kettlebell Carry,https://www.youtube.com/watch?v=UpBzi0HIdAI
bar,fore,1,Barbell Rack Holds,https://www.youtube.com/watch?v=P0GuvfaPC84
bar,fore,2,Pinch-Grip Plate Hold,https://www.youtube.com/watch?v=VfU18Dfc_ls
bar,fore,3,Pinch-Grip Plate Carry,https://www.youtube.com/watch?v=_P48FTDuVds
bar,fore,4,Reverse Curls,https://www.youtube.com/watch?v=eve_ZgHapkw
bar,fore,5,Double-Overhand Grip Deadlift,https://www.youtube.com/watch?v=hL8xoK__-Z4
rb_long,fore,1,Resistance Band Wrist Flexion,https://www.youtube.com/watch?v=Y5mx9js7BlA
rb_long,fore,2,Resistance Band Wrist Extension ,https://www.youtube.com/watch?v=6Po2NeM8A-Q
rb_long,fore,3,Resistance Band Ulnar Deviation,https://www.youtube.com/watch?v=e7f0ReWyuvA
rb_long,fore,4,Resistance Band Pronation and Supination,https://www.youtube.com/watch?v=Xas60Z7HzQc
rb_long,fore,5,Resistance Band Reverse Curl,https://www.youtube.com/watch?v=kbuDNoI5e-M
nothing,quad,1,Bodyweight Squats,https://www.youtube.com/watch?v=R1v152b72lo
nothing,quad,2,Bodyweight Jump Squats,https://www.youtube.com/watch?v=JwCaCql7VpQ
nothing,quad,3,Bodyweight Bulgarian Split Squats,https://www.youtube.com/watch?v=kBQ1krvKFBU
nothing,quad,4,Walking Lunges,https://www.youtube.com/watch?v=L8fvypPrzzs
nothing,quad,5,Pistol Squats,https://www.youtube.com/watch?v=vq5-vdgJc0I
db,quad,1,Dumbbell Goblet Squats,https://www.youtube.com/watch?v=9W5KAqHfDe8
db,quad,2,Dumbbell Zercher Squat,https://www.youtube.com/watch?v=iX-b4FoSK3w
db,quad,3,Dumbbell Bulgarian Split Squats,https://www.youtube.com/watch?v=TwsAe8xrnqE
db,quad,4,Dumbbell Thruster,https://www.youtube.com/watch?v=u3wKkZjE8QM
db,quad,5,Single Arm Dumbbell Overhead Squat,https://www.youtube.com/watch?v=PAPnBDBzAsw
kb,quad,1,Kettlebell Goblet Squat,https://www.youtube.com/watch?v=7EGVKUH0K10
kb,quad,2,Kettlebell Front Rack Squat,https://www.youtube.com/watch?v=wRmiqpizfNM
kb,quad,3,Kettlebell Bulgarian Split Squat,https://www.youtube.com/watch?v=ahI63EkvSQ8
kb,quad,4,Kettlebell Single-Arm Overheat Squat,https://www.youtube.com/watch?v=nrfDq0DUhrE
kb,quad,5,Kettlebell Single-Arm Overheat Split Squat,https://www.youtube.com/watch?v=3HxbM0lO3a8
bar,quad,1,Back Squats,https://www.youtube.com/watch?v=SbgHegC6lEs
bar,quad,2,Zercher Squats,https://www.youtube.com/watch?v=bIO-Ept_l-Y
bar,quad,3,Front Squats,https://www.youtube.com/watch?v=Cnc0qKLAgcU
bar,quad,4,Zombie Squats,https://www.youtube.com/watch?v=XAm16uS61qM
bar,quad,5,Overhead Squats,https://www.youtube.com/watch?v=Ow58yHEl_Ls
rb_long,quad,1,Resistance Band Leg Extension,https://www.youtube.com/watch?v=LyP2EdSevhc
rb_long,quad,2,Resistance Band Assisted Bodyweight Squat,https://www.youtube.com/watch?v=VK5bCOxz8zo
rb_long,quad,3,Resistance Band Assisted Bodyweight Lunges,https://www.youtube.com/watch?v=OpNxvchY1cA
rb_long,quad,4,Band Resisted Squats,https://www.youtube.com/watch?v=MJQHqSJ6xFo
rb_long,quad,5,Resistance Band Split Squats,https://www.youtube.com/watch?v=YxyVk-vRtX8
nothing,ham,1,Bodyweight Kickback,https://www.youtube.com/watch?v=9bi2ZcMBG78
nothing,ham,2,Bodyweight Glute Bridge,https://www.youtube.com/watch?v=G2Kpv2anK4E
nothing,ham,3,Hamstring Walkout,https://www.youtube.com/watch?v=OzdSDZZPtdE
nothing,ham,4,Eccentric-focused Nordic Curls,https://www.youtube.com/watch?v=rYH8MPS8j24
nothing,ham,5,Nordic Curls,https://www.youtube.com/watch?v=RkFIAaR6Rgw
db,ham,1,Dumbbell Hamstring Curl,https://www.youtube.com/watch?v=cSzoVHHnuu0
db,ham,2,Dumbbell Deadlift,https://www.youtube.com/watch?v=G6s6rUAlnyo
db,ham,3,Dumbbell Stiff Leg Deadlift,https://www.youtube.com/watch?v=bYFSqrikw2U
db,ham,4,Single-Leg RDL,https://www.youtube.com/watch?v=IlOrGu1qzWs
db,ham,5,Dumbbell Glute Bridge,https://www.youtube.com/watch?v=0kx1QOzhTCQ
kb,ham,1,KB Single Arm Deadlift,https://www.youtube.com/watch?v=4SFg7GaKI0A
kb,ham,2,Kettlebell Swings,https://www.youtube.com/watch?v=yHxcTn1UeAc
kb,ham,3,Kettlebell Glute Bridge,https://www.youtube.com/watch?v=OqQbxUgMP68
kb,ham,4,Kettlebell Single-Leg RDL,https://www.youtube.com/watch?v=Nenu2LI9_dw
kb,ham,5,Kettlebell Single-Leg RDL,https://www.youtube.com/watch?v=Nenu2LI9_dw
bar,ham,1,Hip Thrust,https://www.youtube.com/watch?v=S_uZP4UH6J0
bar,ham,2,Landmine Single-Leg RDL,https://www.youtube.com/watch?v=GFEdRNDY4jI
bar,ham,3,Deadlift,https://www.youtube.com/watch?v=oiDczs9j75E
bar,ham,4,Romanian Deadlift,https://www.youtube.com/watch?v=_oyxCn2iSjU
bar,ham,5,Jefferson Squats,https://www.youtube.com/watch?v=pUqJ4Igsj_k
rb_long,ham,1,Resistance Band Hamstring Curls,https://www.youtube.com/watch?v=Ygy6sipH-BM
rb_long,ham,2,Banded Deadlift,https://www.youtube.com/watch?v=lcRZNMsb9GI
rb_long,ham,3,Resistance Band RDL,https://www.youtube.com/watch?v=2DswHFace6c
rb_long,ham,4,Resistance Band Good Morning,https://www.youtube.com/watch?v=CTRaCzE8pWU
rb_long,ham,5,Resistance Bang Glute Bridge,https://www.youtube.com/watch?v=2OaqZ-QAiYw
nothing,glut,1,Side Plank Clamshell,https://www.youtube.com/watch?v=hHmNlqPqiLQ
nothing,glut,2,Fire Hydrant,https://www.youtube.com/watch?v=CAZZz7uP-Ok
nothing,glut,3,Hamstring Walkout,https://www.youtube.com/watch?v=OzdSDZZPtdE
nothing,glut,4,Bodyweight Glute Bridge,https://www.youtube.com/watch?v=G2Kpv2anK4E
nothing,glut,5,Bodyweight Single-Leg Glute Bridge,https://www.youtube.com/watch?v=pMBi7HuITuw
db,glut,1,Dumbbell Goblet Squats,https://www.youtube.com/watch?v=a-dqF4NL2K4
db,glut,2,Dumbbell Glute Bridge,https://www.youtube.com/watch?v=JpDDoINkrog
db,glut,3,Single-legged Dumbbell Hip Thrust,https://www.youtube.com/watch?v=KW7yo5x7-HI
db,glut,4,Dumbbell Goblet Split Squats,https://www.youtube.com/watch?v=6wIId6pQzHw
db,glut,5,Dumbbell Stiff Leg Deadlift,https://www.youtube.com/watch?v=bYFSqrikw2U
kb,glut,1,Kettlebell Swings,https://www.youtube.com/watch?v=EIyOdqTf3r8
kb,glut,2,Kettlebell Romanian Deadlift,https://www.youtube.com/watch?v=keiZFdUgvKQ
kb,glut,3,Kettlebell Glute Bridge,https://www.youtube.com/watch?v=4Q2nSzh1N9M
kb,glut,4,Kettlebell Hip Thruster,https://www.youtube.com/watch?v=J7L0749hx_w
kb,glut,5,Turkish Get-Up Hip Bridge,https://www.youtube.com/watch?v=FTE9BtQH8uo
bar,glut,1,Landmine RDL,https://www.youtube.com/watch?v=0DW6G1HXhQU
bar,glut,2,Back Squats,https://www.youtube.com/watch?v=SbgHegC6lEs
bar,glut,3,Glute Bridge,https://www.youtube.com/watch?v=rTqhhHfooxg
bar,glut,4,Hip Thrust,https://www.youtube.com/watch?v=S_uZP4UH6J0
bar,glut,5,Jefferson Squats,https://www.youtube.com/watch?v=pUqJ4Igsj_k
rb_long,glut,1,Banded Monster Walk,https://www.youtube.com/watch?v=6x7WXz5P23c
rb_long,glut,2,Banded Clamshells,https://www.youtube.com/watch?v=wDJKAczVXP0
rb_long,glut,3,Banded Jane Fonda,https://www.youtube.com/watch?v=X6S9zMPgnRQ
rb_long,glut,4,Banded Hip Thrust,https://www.youtube.com/watch?v=2OaqZ-QAiYw
rb_long,glut,5,Banded Squats,https://www.youtube.com/watch?v=9CbPyDr2P
nothing,core,1,Plank,https://www.youtube.com/watch?v=yeKv5oX_6GY
nothing,core,2,Deadbug,https://www.youtube.com/watch?v=8NBNM8haZx0
nothing,core,3,McGill Big Three,https://www.youtube.com/watch?v=2_e4I-brfqs
nothing,core,4,Shoulder Taps,https://www.youtube.com/watch?v=DZ460QK_gPk
nothing,core,5,Hollow Body Hold,https://www.youtube.com/watch?v=2fB1R9uWQbw
db,core,1,Dumbbell Suitcase Carry,https://www.youtube.com/watch?v=QANMH1XErbU
db,core,2,Single-Arm Overhead Dumbbell Carry,https://www.youtube.com/watch?v=Iyg-shylD3I
db,core,3,Dumbbell Hollow Body Hold,https://www.youtube.com/watch?v=Wo-pGZst6l0
db,core,4,Dumbbell Windmill,https://www.youtube.com/watch?v=IFtmAs8BmIw
db,core,5,Dumbbell Turkish Get Up,https://www.youtube.com/watch?v=MlDLOiN42d4
kb,core,1,Kettlebell Hollow Body Hold,https://www.youtube.com/watch?v=vVLRewQyi5M
kb,core,2,Kettlebell Pullover,https://www.youtube.com/watch?v=b6JhIX3H2Nc
kb,core,3,Kettlebell Pullover Sit Ups,https://www.youtube.com/watch?v=N4PxP6qGvqE
kb,core,4,Kettlebell Deck Squats,https://www.youtube.com/watch?v=ugtqFTIMTMw
kb,core,5,Turkish Get Up,https://www.youtube.com/watch?v=0bWRPC49-KI
bar,core,1,Pinch-Grip Plate Carry,https://www.youtube.com/watch?v=_P48FTDuVds
bar,core,2,Single Arm Barbell Hold,https://www.youtube.com/watch?v=ewYRn6RvI5Y
bar,core,3,Deadlift,https://www.youtube.com/watch?v=oiDczs9j75E
bar,core,4,Shovel Deadlift,https://www.youtube.com/watch?v=LWWccIDdlH8
bar,core,5,Barbell Ab Rollout,https://www.youtube.com/watch?v=yBg4UoOXxLo
rb_long,core,1,Pallof Press,https://www.youtube.com/watch?v=axgv7H_VQOo
rb_long,core,2,Resistance Band Wood Choppers,https://www.youtube.com/watch?v=hZ44e-9rtgc
rb_long,core,3,Band Resisted Dead Bug,https://www.youtube.com/watch?v=eufYDHUtScc
rb_long,core,4,Banded Psoas March,https://www.youtube.com/watch?v=ptNcumN_Kco
rb_long,core,5,Resistance Band High-Low Chopper,https://www.youtube.com/watch?v=AC02jnvE-Jc
